survived,fare_class,sex,age,fare
lived,third,male,32,8
lived,second,female,19,26
lived,third,male,23,8
died,third,male,17,8
lived,third,male,29,10
lived,third,female,5,12
lived,first,female,16,39
died,second,male,25,13
died,third,female,37,10
died,third,male,43,8
died,first,male,55,59
died,third,female,31,8
died,third,female,34,8
died,third,male,37,8
died,third,male,21,8
died,third,female,14,8
died,first,male,29,30
lived,first,female,53,51
died,third,male,19,8
died,third,male,18,8
died,third,male,25,8
died,third,female,27,8
lived,first,female,33,53
died,third,male,39,8
died,third,male,28,8
lived,second,female,48,65
lived,third,female,18,9
died,first,male,46,61
died,first,male,19,52
lived,first,female,27,52
died,third,male,20,8
lived,third,female,17,8
died,third,male,22,7
died,third,male,22,7
died,third,male,31,8
lived,second,female,29,26
lived,second,female,2,26
lived,second,female,22,29
died,first,male,44,27
lived,third,male,30,10
died,third,male,26,8
died,first,male,30,30
lived,third,male,4,11
lived,third,female,34,16
died,third,male,28,56
lived,third,male,22,8
died,third,female,20,9
died,second,male,52,14
died,third,male,32,8
lived,second,female,24,27
lived,second,female,4,23
lived,second,male,8,37
died,third,male,33,10
lived,first,female,35,512
died,third,male,47,9
died,third,male,22,8
lived,third,male,3,16
lived,third,female,47,7
died,third,male,19,8
died,third,male,18,8
died,third,male,38,8
died,first,female,63,222
lived,first,male,31,57
died,third,male,20,8
died,second,male,25,26
lived,second,female,28,13
lived,third,male,42,8
died,third,female,20,10
died,third,male,19,8
died,first,male,19,263
died,first,male,58,113
died,second,female,27,21
lived,first,female,14,120
died,third,female,32,16
lived,third,male,26,56
lived,second,male,24,11
lived,first,female,45,63
lived,third,female,22,12
died,first,male,55,50
died,third,male,42,8
lived,third,male,26,56
died,first,male,56,27
died,third,male,28,8
lived,third,female,4,13
died,third,male,21,24
died,third,male,33,8
died,third,male,27,8
lived,first,female,35,53
died,second,male,19,11
lived,first,female,49,77
lived,third,male,21,8
died,second,male,57,12
died,third,male,16,9
died,third,male,16,10
lived,third,female,18,10
lived,second,female,30,14
died,third,male,51,8
lived,first,female,58,512
lived,third,female,26,16
died,first,male,24,79
lived,second,female,28,33
lived,third,female,33,16
lived,second,female,29,26
lived,second,female,28,26
died,first,male,28,82
died,third,male,26,8
lived,third,male,9,3
lived,third,male,12,11
lived,third,male,32,8
lived,second,female,50,11
lived,first,female,29,29
died,third,male,21,8
lived,third,female,41,8
lived,second,male,1,39
died,second,male,30,24
lived,first,female,17,109
died,third,male,51,8
died,third,female,33,16
died,second,male,25,11
lived,first,female,27,248
lived,third,female,38,8
lived,third,male,26,8
lived,third,male,44,8
died,third,female,2,28
died,third,male,22,8
died,third,male,33,7
lived,first,female,28,263
lived,first,male,40,31
died,second,male,28,11
died,third,female,18,8
died,third,male,40,8
died,second,male,21,12
died,third,male,20,9
died,third,male,20,8
died,third,male,1,14
lived,first,female,30,57
died,third,male,26,8
lived,second,female,36,39
died,third,male,41,8
lived,third,female,19,8
died,first,male,56,31
died,third,male,18,8
died,third,female,6,31
died,second,male,34,26
lived,third,male,29,22
died,third,male,44,8
died,first,male,47,39
lived,third,female,26,8
died,third,male,20,8
died,third,male,19,8
died,second,male,28,14
lived,first,female,18,60
lived,second,female,28,13
lived,third,female,17,7
died,second,male,40,26
died,third,male,22,8
died,third,male,29,8
lived,second,female,48,37
lived,first,male,20,40
lived,first,female,40,135
died,third,male,27,8
died,third,male,42,9
died,second,male,35,26
lived,second,female,36,13
died,third,male,31,8
died,third,male,17,9
lived,third,male,37,17
died,third,male,29,8
died,third,male,4,29
died,third,male,32,8
lived,third,female,21,8
died,first,male,33,27
lived,third,female,15,8
lived,first,female,18,228
died,third,male,25,56
died,third,female,45,28
died,third,male,41,14
lived,second,male,3,19
lived,first,female,62,80
died,second,male,29,21
died,first,male,36,40
lived,first,male,28,27
died,first,male,41,52
died,first,male,29,67
lived,second,female,50,26
died,third,male,22,8
died,second,male,30,13
lived,first,female,64,27
died,third,male,33,8
lived,third,female,23,8
lived,first,female,44,58
died,first,male,42,27
died,first,male,55,31
died,second,male,35,12
died,second,male,61,12
died,third,male,26,8
died,second,male,59,14
lived,third,female,22,8
died,second,male,35,16
died,first,male,55,94
lived,third,male,21,8
lived,first,female,52,78
died,second,male,31,13
lived,first,male,30,30
lived,first,female,33,52
died,first,male,47,42
lived,second,male,23,13
lived,first,female,45,262
lived,second,female,50,11
lived,third,female,41,8
died,third,male,30,8
died,third,female,30,8
died,third,male,71,8
died,third,male,17,9
lived,first,female,16,58
died,second,male,29,28
died,third,male,25,8
died,third,male,30,16
lived,second,male,1,37
died,first,male,67,222
died,second,male,34,26
died,third,female,17,8
died,third,female,16,47
died,second,male,47,11
lived,third,female,36,16
lived,first,female,18,80
died,first,male,22,28
died,third,male,28,16
died,third,male,24,8
died,third,female,36,12
lived,first,female,58,27
died,third,male,43,8
lived,first,male,43,28
died,third,male,24,8
lived,second,male,34,13
died,third,male,32,8
lived,third,male,27,8
lived,third,female,44,8
died,second,male,43,26
lived,first,female,44,28
lived,second,female,3,42
died,third,female,22,9
lived,second,male,3,26
died,third,female,9,28
lived,second,female,18,23
died,third,male,20,8
died,third,male,32,8
lived,first,female,43,55
lived,second,female,29,23
died,third,male,26,8
lived,first,male,16,36
died,third,male,22,8
died,first,male,70,71
died,second,male,21,12
died,third,male,16,8
died,second,female,18,13
lived,second,male,30,13
died,third,male,26,8
lived,third,female,26,8
lived,first,female,35,136
died,second,male,52,13
died,third,male,9,31
died,third,male,24,8
died,third,female,24,9
died,third,male,25,18
died,second,male,19,13
lived,first,male,23,63
lived,second,male,29,14
died,third,male,41,8
lived,first,female,58,147
died,third,male,16,8
lived,third,female,13,7
died,third,female,20,8
lived,second,female,24,65
lived,first,female,54,78
lived,second,female,4,39
died,second,male,36,11
lived,first,male,49,89
died,first,male,39,30
lived,first,female,36,262
lived,third,male,25,0
died,second,male,50,26
died,first,male,28,31
lived,third,male,16,15
lived,first,female,38,52
lived,third,female,9,15
lived,third,female,31,21
lived,third,male,27,9
died,third,male,23,8
